recordIdentifier,title,date,senders,receivers,mentioned,genre
DE-611-HS-3686924,"Brief von Werner Heisenberg an Leon Van Hove an Rijksuniversiteit Utrecht, 17.05.1961",1961-05-17,"Heisenberg, Werner (1901-1976)","Van Hove, Leon; Rijksuniversiteit Utrecht (1817-1992)","Dürr, Hans-Peter (1929-2014)",Brief
DE-611-BF-81596,"489. IV. Institutionen, 1. Korrespondenz: Verband der chemischen Industrie",1955,,,,unknown
DE-611-HS-3687370,"Brief von Fonds der Chemischen Industrie an Werner Heisenberg an Alexander von Humboldt-Stiftung, 25.02.1966",1966-02-25,Fonds der Chemischen Industrie,"Heisenberg, Werner (1901-1976); Alexander von Humboldt-Stiftung (1860-1923)",,Brief
DE-611-HS-3687415,"Brief von Verband der Chemischen Industrie an Werner Heisenberg, 1964 [Juni/Juli]",1964,Verband der Chemischen Industrie,"Heisenberg, Werner (1901-1976) [vermutlich]",,Brief
DE-611-HS-3687491,"Brief von Werner Heisenberg an Verband der Chemischen Industrie, 18.10.1960",1960-10-18,"Heisenberg, Werner (1901-1976)",Verband der Chemischen Industrie,,Brief
DE-611-HS-3687492,"Brief von Margot Hobert von Max-Planck-Institut für Physik. Direktion. Sekretariat an Verband der Chemischen Industrie, 20.09.1960",1960-09-20,"Hobert, Margot (1912-); Max-Planck-Institut für Physik. Direktion. Sekretariat",Verband der Chemischen Industrie,"Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3687493,"Brief von Verband der Chemischen Industrie an Werner Heisenberg, 1960 [Juni]",1960,Verband der Chemischen Industrie,"Heisenberg, Werner (1901-1976) [vermutlich]",,Brief
DE-611-HS-3687494,"Brief von Fonds der Chemischen Industrie an Werner Heisenberg an Alexander von Humboldt-Stiftung, 16.03.1960",1960-03-16,Fonds der Chemischen Industrie,"Heisenberg, Werner (1901-1976); Alexander von Humboldt-Stiftung (1860-1923)",,Brief
DE-611-HS-3687495,"Brief von Fonds der Chemischen Industrie an Werner Heisenberg, 1960",1960,Fonds der Chemischen Industrie,"Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3687496,"Brief von Werner Heisenberg an Verband der Chemischen Industrie, 24.05.1955",1955-05-24,"Heisenberg, Werner (1901-1976)",Verband der Chemischen Industrie,,Brief
DE-611-HS-3687497,"Brief von Verband der Chemischen Industrie an Werner Heisenberg, 1955 [Mai]",1955,Verband der Chemischen Industrie,"Heisenberg, Werner (1901-1976) [vermutlich]",,Brief
DE-611-BF-81597,"490. IV. Institutionen, 1. Korrespondenz: Verband der Wissenschaftler an Forschungsinstituten",1964,,,,unknown
DE-611-HS-3687498,Telefonnotiz (Einheitstitel von Bearbeiter/in),1968-10-20,"Giese, Annemarie",,"Roeske, Winfried; Heisenberg, Werner (1901-1976)",unknown
DE-611-HS-3687499,"Brief von Ernst Remy von Verband der Wissenschaftler an Forschungsinstituten an Werner Heisenberg an Max-Planck-Institut für Physik und Astrophysik, 23.07.1968",1968-07-23,"Remy, Ernst; Verband der Wissenschaftler an Forschungsinstituten","Heisenberg, Werner (1901-1976); Max-Planck-Institut für Physik und Astrophysik (1958-1991)","Roeske, Winfried",Brief
DE-611-HS-3687500,"Brief von Winfried Roeske von Max-Planck-Gesellschaft zur Förderung der Wissenschaften an Werner Heisenberg an Max-Planck-Institut für Physik und Astrophysik, 20.12.1968",1968-12-20,"Roeske, Winfried; Max-Planck-Gesellschaft zur Förderung der Wissenschaften (1948-)","Heisenberg, Werner (1901-1976); Max-Planck-Institut für Physik und Astrophysik (1958-1991)",,Brief
DE-611-HS-3687501,"Brief von Ernst Remy von Verband der Wissenschaftler an Forschungsinstituten an Werner Heisenberg an Max-Planck-Institut für Physik und Astrophysik, 20.12.1968",1968-12-20,"Remy, Ernst; Verband der Wissenschaftler an Forschungsinstituten","Heisenberg, Werner (1901-1976); Max-Planck-Institut für Physik und Astrophysik (1958-1991)","Butenandt, Adolf (1903-1995)",Brief
DE-611-HS-3687502,"Brief von Annemarie Giese von Max-Planck-Institut für Physik. Direktion. Sekretariat an Wolfgang Scheuren an Verband der Wissenschaftler an Forschungsinstituten, 28.11.1968",1968-11-28,"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat","Scheuren, Wolfgang; Verband der Wissenschaftler an Forschungsinstituten","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3687503,"Brief von Wolfgang Scheuren von Verband der Wissenschaftler an Forschungsinstituten an Werner Heisenberg an Max-Planck-Institut für Physik und Astrophysik, 27.11.1968",1968-11-27,"Scheuren, Wolfgang; Verband der Wissenschaftler an Forschungsinstituten","Heisenberg, Werner (1901-1976); Max-Planck-Institut für Physik und Astrophysik (1958-1991)",,Brief
DE-611-HS-3687504,"Brief von Werner Heisenberg an Ernst Remy an Verband der Wissenschaftler an Forschungsinstituten, 31.10.1968",1968-10-31,"Heisenberg, Werner (1901-1976)","Remy, Ernst; Verband der Wissenschaftler an Forschungsinstituten","Roeske, Winfried",Brief
DE-611-HS-3687505,"Interne Informationen Nr. 12, Dezember 1966 (Incipit der Unterlage)",1966,"Creutzfeldt, Otto",,,unknown
DE-611-HS-3687516,"Interne Informationen Nr. 11, November 1966 (Incipit der Unterlage)",1966,"Creutzfeldt, Otto",,,unknown
DE-611-HS-3687517,"Interne Informationen Nr. 10, September 1966 (Incipit der Unterlage)",1966,"Creutzfeldt, Otto",,,unknown
DE-611-HS-3687518,"Interne Informationen Nr. 9, Juli 1966 (Incipit der Unterlage)",1966,"Creutzfeldt, Otto",,,unknown
DE-611-HS-3687519,Aktennotiz (Incipit der Unterlage),1966,,,,unknown
DE-611-HS-3687520,"Interne Informationen Nr. 7, Februar 1966 (Incipit der Unterlage)",1966,"Creutzfeldt, Otto",,,unknown
DE-611-HS-3687521,"Mitteilungen Nr. 5, November 1965 (Incipit der Unterlage)",1965,,,,unknown
DE-611-HS-3687522,Aktennotiz (Incipit der Unterlage),unknown,Max-Planck-Institut für Physik und Astrophysik (1958-1991),,,unknown
DE-611-HS-3687523,"Brief von Klaus von Dohnanyi von Infratest-Wirtschaftsforschung GmbH (München) an Werner Heisenberg und Ernst Remy an Max-Planck-Institut für Physik und Astrophysik, 25.08.1965",1965-08-25,"Dohnanyi, Klaus von (1928-); Infratest-Wirtschaftsforschung GmbH (München)","Heisenberg, Werner (1901-1976); Remy, Ernst; Max-Planck-Institut für Physik und Astrophysik (1958-1991)",,Brief
DE-611-HS-3687524,"Brief von Werner Heisenberg an Ernst Remy an Verband der Wissenschaftler an Forschungsinstituten, 27.09.1965",1965-09-27,"Heisenberg, Werner (1901-1976)","Remy, Ernst; Verband der Wissenschaftler an Forschungsinstituten","Dohnanyi, Klaus von (1928-)",Brief
DE-611-HS-3687525,Kurze Übersicht (Incipit der Unterlage),1965,"Remy, Ernst",,,unknown
DE-611-HS-3687526,Zum Entwurf eines Tarifvertrages (Incipit der Unterlage),1964-12-01,"Remy, Ernst",,,unknown
DE-611-HS-3687527,"Mitteilungen Nr. 11, 15. September 1964 (Incipit der Unterlage)",1964,,,,unknown
DE-611-HS-3687528,"Mitteilungen Nr. 10, 15. August 1964 (Incipit der Unterlage)",1964,,,,unknown
DE-611-HS-3687529,"Brief von Werner Heisenberg an Verband der Wissenschaftler an Forschungsinstituten, 05.08.1964",1964-08-05,"Heisenberg, Werner (1901-1976)",Verband der Wissenschaftler an Forschungsinstituten,"Remy, Ernst",Brief
DE-611-HS-3687530,"Mitteilungen Nr. 9, 15. Juli 1964 (Incipit der Unterlage)",1964,,,,unknown
DE-611-HS-3687531,"Mitteilungen Nr. 8, 1. Juli 1964 (Incipit der Unterlage)",1964,,,,unknown
DE-611-HS-3687532,"Mitteilungen Nr. 7, 16.6.64 (Incipit der Unterlage)",1964,,,,unknown
DE-611-HS-3687533,Einladung zur Mitgliederversammlung des Verbandes der Wissenschaftler an physikalischen Forschungseinrichtungen [...] (Incipit der Unterlage),1964-06-04,,,,unknown
DE-611-HS-3687535,Vorschlag zur Neuformulierung des bisherigen SR 2 o BAT  (Incipit der Unterlage),1964,,,,unknown
DE-611-HS-3687536,"Mitteilungen des Verbandes der Wissenschaftler an Physikalischen Forschungsinstituten, Nr. 6, 11.5.64 (Incipit der Unterlage)",1964-05-11,,,,unknown
DE-611-HS-3687539,"Mitteilungen des Verbandes der Wissenschaftler an Physikalischen Forschungsinstituten, 4.5.1964, Nr. 5 (Incipit der Unterlage)",1964-05-04,"Lotz, Wolfgang",,,unknown
DE-611-HS-3687540,"Mitteilungen des Verbandes der Wissenschaftler an Physikalischen Forschungsinstituten, 27. April 1964, Nr. 4 (Incipit der Unterlage)",1964-04-27,,,,unknown
DE-611-HS-3687542,Entwurf : Verband der Wissenschaftler an Physikalischen Forschungsinstituten - Satzungen (Incipit der Unterlage),1964-04-01,,,,unknown
DE-611-HS-3687548,"Mitteilungen des Verbandes der Wissenschaftler an Physikalischen Forschungsinstituten, 20. April 1964, Nr. 3 (Incipit der Unterlage)",1964-04-20,"Lotz, Wolfgang",,,unknown
DE-611-HS-3687564,"Mitteilungen des Verbandes der Wissenschaftler an Physikalischen Forschungsinstituten, 20. Februar 1964, Nr. 2 (Incipit der Unterlage)",1964-02-20,,,,unknown
DE-611-HS-3687565,Umlauf 1; An die Physiker des MPI und IPP (Incipit der Unterlage),1964-01-29,"Remy, Ernst; Wolf, Günter (1937-2024)",,,unknown
DE-611-BF-81598,"491. IV. Institutionen, 1. Korrespondenz: Verband deutscher Studentenschaften",1961,,,,unknown
DE-611-HS-3687741,"Brief von Bernhard von Mutius und Steffen Lehndorff von Verband Deutscher Studentenschaften an Werner Heisenberg, 11.11.1970",1970-11-11,"Mutius, Bernhard von; Lehndorff, Steffen; Verband Deutscher Studentenschaften (1949-1975)","Heisenberg, Werner (1901-1976) [vermutlich]",,Brief
DE-611-HS-3687746,"Brief von Lothar Krappmann von Verband Deutscher Studentenschaften an Werner Heisenberg, 28.10.1963",1963-10-28,"Krappmann, Lothar; Verband Deutscher Studentenschaften (1949-1975)","Heisenberg, Werner (1901-1976)","Alexander, Neville (1936-2012)",Brief
DE-611-HS-3687747,"Brief von Lothar Krappmann von Verband Deutscher Studentenschaften an Werner Heisenberg, 02.02.1963",1963-02-02,"Krappmann, Lothar; Verband Deutscher Studentenschaften (1949-1975)","Heisenberg, Werner (1901-1976) [vermutlich]","Alexander, Neville (1936-2012)",Brief
DE-611-HS-3687749,"Brief von Lothar Krappmann von Verband Deutscher Studentenschaften an Werner Heisenberg, 23.11.1962",1962-11-23,"Krappmann, Lothar; Verband Deutscher Studentenschaften (1949-1975)","Heisenberg, Werner (1901-1976)","Alexander, Neville (1936-2012)",Brief
DE-611-HS-3687751,"Brief von Werner Heisenberg an Verband Deutscher Studentenschaften, 01.03.1961",1961-03-01,"Heisenberg, Werner (1901-1976)",Verband Deutscher Studentenschaften (1949-1975),,Brief
DE-611-HS-3687753,"Brief von Verband Deutscher Studentenschaften an Werner Heisenberg, 21.02.1961",1961-02-21,Verband Deutscher Studentenschaften (1949-1975),"Heisenberg, Werner (1901-1976)",,Brief
DE-611-BF-81599,"492. IV. Institutionen, 1. Korrespondenz: Vishva Ahimsa Sangha",1963,,,,unknown
DE-611-HS-3687850,Ahimsa Shodh-Peeth : Newsletter (Incipit der Unterlage),1964-08-24,,,,unknown
DE-611-HS-3687852,W.F.R. & Ahimsa Shodh-Peeth : Newsletter (Incipit der Unterlage),1964-07-01,,,,unknown
DE-611-HS-3688010,Ahimsa Shodh-Peet (Incipit des Druckes),1964-07-01,"Chand, Bool (-1989)",,,unknown
DE-611-HS-3688019,World Fellowship of Religions : the third World Religions Conference (Incipit des Druckes),1964,,,,unknown
DE-611-HS-3688021,World Fellowship of Religions and Ahimsa Shodh-Peeth : Newsletter (Incipit der Unterlage),1964-04-01,,,,unknown
DE-611-HS-3688035,World Fellowship of Religions and Ahimsa Shodh-Peeth : Newsletter (Incipit der Unterlage),1964-03-01,,,,unknown
DE-611-HS-3688046,Vishva Ahimsa Sangha and Ahimsa Shodh-Peeth : Newsletter (Incipit der Unterlage),1964-02-01,,,,unknown
DE-611-HS-3688496,"Brief von Werner Heisenberg an Bool Chand an Ahimsa Shodh Peeth, 18.07.1963",1963-07-18,"Heisenberg, Werner (1901-1976)","Chand, Bool (-1989); Ahimsa Shodh Peeth (1957-)",,Brief
DE-611-HS-3688518,"Brief von Bool Chand von Ahimsa Shodh Peeth, Vishva Ahimsa Sangha an Werner Heisenberg, 1963",1963,"Chand, Bool (-1989); Ahimsa Shodh Peeth (1957-); Vishva Ahimsa Sangha","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3688523,Vishva Ahimsa Sangha and Ahimsa Shodh-Peeth : Newsletter (Incipit der Unterlage),1963-12-01,,,,unknown
DE-611-HS-3688532,Vishva Ahimsa Sangha and Ahimsa Shodh-Peeth : Newsletter (Incipit der Unterlage),1963,"Hobert, Margot (1912-); Max-Planck-Institut für Physik. Direktion. Sekretariat",Vishva Ahimsa Sangha,"Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3688563,"Brief von Vishva Ahimsa Sangha an Werner Heisenberg, 1963 [ca.]",1963,Vishva Ahimsa Sangha,"Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3688578,Vishva Ahimsa Sangha and Ahimsa Shodh-Peeth : Newsletter (Incipit der Unterlage),1963-11-01,,,,unknown
DE-611-HS-3688580,"Brief von Vishva Ahimsa Sangha an Werner Heisenberg, 1963 [ca.]",1963,Vishva Ahimsa Sangha,"Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3688589,Vishva Ahimsa Sangha and Ahimsa Shodh-Peeth : Newsletter (Incipit der Unterlage),1962-10-07,,,,unknown
DE-611-BF-86734,"IV. Institutionen, 1. Korrespondenz: W",unknown,,,,unknown
DE-611-BF-80359,"493. IV. Institutionen, 1. Korrespondenz: Wadd-Wade",1964,,,,unknown
DE-611-HS-3648024,Aktennotiz (Einheitstitel von Bearbeiter/in),unknown,,,,unknown
DE-611-HS-3648040,Aktennotiz (Einheitstitel von Bearbeiter/in),1964-12-15,"Heisenberg, Werner (1901-1976)","Waddell, R. E.; Walker, P. M. K.; Birkbeck Collage. Chemistry Departement","Schrödinger, Erwin (1887-1961); Maxwell, Max",Brief
DE-611-HS-3648044,Aktennotiz (Einheitstitel von Bearbeiter/in),1964-12-04,"Waddell, R. E.; Walker, P. M. K.; Birkbeck Collage. Chemistry Departement","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3648048,Aktennotiz (Einheitstitel von Bearbeiter/in),1973-07-29,"Wadewitz, Alfred","Heisenberg, Werner (1901-1976)","Bohr, Niels (1885-1962)",Brief
DE-611-HS-3648056,"Brief von Werner Heisenberg von Max-Planck-Institut für Physik und Astrophysik an Therese Waeselmann, 16.06.1964",1964-06-16,"Heisenberg, Werner (1901-1976); Max-Planck-Institut für Physik und Astrophysik (1958-1991)","Waeselmann, Therese",,Brief
DE-611-BF-80360,"494. IV. Institutionen, 1. Korrespondenz: Wäg-Web",1948,,,,unknown
DE-611-HS-3648065,"Brief von Werner Heisenberg an Massey-Harris Company (Toronto), 19.03.1953",1953-03-19,"Heisenberg, Werner (1901-1976)",Massey-Harris Company (Toronto) (1830-1952),"Wägele, Rolf",Brief
DE-611-HS-3648068,"Brief von Massey-Harris Company (Toronto) an Werner Heisenberg, 16.03.1953",1953-03-16,Massey-Harris Company (Toronto) (1830-1952),"Heisenberg, Werner (1901-1976)","Wägele, Rolf",Brief
DE-611-HS-3648074,"Brief von Werner Heisenberg an Wolfgang Waeger, 17.11.1969",1969-11-17,"Heisenberg, Werner (1901-1976)","Waeger, Wolfgang [vermutlich]",,Brief
DE-611-HS-3648077,"Brief von Wolfgang Waeger an Werner Heisenberg, 10.11.1969",1969-11-10,"Waeger, Wolfgang [vermutlich]","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3648083,"Brief von Werner Heisenberg an Erhard Wägner, 05.06.1973",1973-06-05,"Heisenberg, Werner (1901-1976)","Wägner, Erhard",,Brief
DE-611-HS-3648088,"Brief von Erhard Wägner an Werner Heisenberg, 02.06.1973",1973-06-02,"Wägner, Erhard","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3648091,"Brief von Werner Heisenberg an Erhard Wägner, 12.02.1973",1973-02-12,"Heisenberg, Werner (1901-1976)","Wägner, Erhard",,Brief
DE-611-HS-3648094,"Brief von Therese Waeselmann an Werner Heisenberg, 22.06.1964",1964-06-22,"Waeselmann, Therese","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3648099,"Brief von Werner Heisenberg an Therese Waeselmann, 16.06.1964",1964-06-16,"Heisenberg, Werner (1901-1976)","Waeselmann, Therese",,Brief
DE-611-HS-3648104,"Brief von Therese Waeselmann an Werner Heisenberg, 11.06.1964",1964-06-11,"Waeselmann, Therese","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3648127,"Brief von Hildegard Wöhrle von Max-Planck-Institut für Physik. Direktion. Sekretariat an Otfried Wagenbreth, 25.03.1966",1966-03-25,"Wöhrle, Hildegard (1934-2020); Max-Planck-Institut für Physik. Direktion. Sekretariat","Wagenbreth, Otfried (1927-2017)","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3648131,"Brief von Otfried Wagenbreth an Werner Heisenberg, 06.03.1966",1966-03-06,"Wagenbreth, Otfried (1927-2017)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3648138,"Brief von Klaus Wagn an Werner Heisenberg, 12.12.1970",1970-12-12,"Wagn, Klaus","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3648164,"Brief von Werner Heisenberg an August H. Wagner, 17.03.1966",1966-03-17,"Heisenberg, Werner (1901-1976)","Wagner, August H.",,Brief
DE-611-HS-3648166,"Brief von August H. Wagner an Werner Heisenberg, 10.03.1966",1966-03-10,"Wagner, August H.","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3648175,"Brief von Carl Wagner an Werner Heisenberg, 26.06.1971",1971-06-26,"Wagner, Carl (1901-1977)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3648183,"Brief von Carl Wagner von Max-Planck-Institut für Biophysikalische Chemie an Werner Heisenberg, 30.04.1971",1971-04-30,"Wagner, Carl (1901-1977); Max-Planck-Institut für Biophysikalische Chemie (1971-2021)","Heisenberg, Werner (1901-1976)","Weizsäcker, Carl Friedrich von (1912-2007)",Brief
DE-611-HS-3648187,"Brief von Werner Heisenberg an Hanne Wagner, 25.09.1972",1972-09-25,"Heisenberg, Werner (1901-1976)","Wagner, Hanne",,Brief
DE-611-HS-3648193,"Brief von Hanne Wagner an Werner Heisenberg, 03.09.1972",1972-09-03,"Wagner, Hanne","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3648216,"Brief von Werner Heisenberg an Studienstiftung des Deutschen Volkes, 30.01.1961",1961-01-30,"Heisenberg, Werner (1901-1976)",Studienstiftung des Deutschen Volkes (1925-),"Wagner, Herbert (1935-)",Brief
DE-611-HS-3648219,"Brief von Peter Mittelstaedt an Klaus Hieronymus Wagner, 23.03.1962",1962-03-23,"Mittelstaedt, Peter (1929-2014)","Wagner, Klaus Hieronymus","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3648220,"Brief von Klaus Hieronymus Wagner an Werner Heisenberg, 21.03.1962",1962-03-21,"Wagner, Klaus Hieronymus","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3648221,"Brief von Werner Heisenberg an Kurt Wagner, 10.04.1974",1974-04-10,"Heisenberg, Werner (1901-1976)","Wagner, Kurt","Weigmann, Walter (1902-1945)",Brief
DE-611-HS-3648223,"Brief von Kurt Wagner an Werner Heisenberg, 08.04.1974",1974-04-08,"Wagner, Kurt","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3648228,"Brief von Paul Wagner an Werner Heisenberg, 09.06.1968",1968-06-09,"Wagner, Paul","Heisenberg, Werner (1901-1976)","Weizsäcker, Carl Friedrich von (1912-2007); Einstein, Albert (1879-1955)",Brief
DE-611-HS-3648242,"Brief von Annemarie Giese von Max-Planck-Institut für Physik. Direktion. Sekretariat an Rainer Wagner, 28.04.1967",1967-04-28,"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat","Wagner, Rainer","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3648243,"Brief von Rainer Wagner an Werner Heisenberg, 31.03.1967",1967-03-31,"Wagner, Rainer","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3648244,"Brief von Richard Wagner an Werner Heisenberg, 04.12.1961",1961-12-04,"Wagner, Richard","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3648245,"Brief von Waltraud Wagner an Werner Heisenberg, 06.10.1972",1972-10-06,"Wagner, Waltraud","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3648246,"Brief von Waltraud Wagner von Gesellschaft für Bedrohte Völker. Arbeitsgruppe für Nordamerikanische Indianer an Werner Heisenberg, 06.10.1972",1972-10-06,"Wagner, Waltraud; Gesellschaft für Bedrohte Völker. Arbeitsgruppe für Nordamerikanische Indianer","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3648250,Ein dreihundertjähriger Irrtum der Wissenschaft : die Schwerkraft aus neuer Sicht ; der Nachweis eines Basalmediums und seiner Aggregate im Weltraum (Incipit der Unterlage),1971,"Wahl, Friedrich August","Heisenberg, Werner (1901-1976) [vermutlich]",,unknown
DE-611-HS-3648251,"Brief von Friedrich August Wahl an Werner Heisenberg, 23.06.1969",1969-06-23,"Wahl, Friedrich August","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3648259,"Brief von Werner Heisenberg an Friedrich Wahl, 23.06.1962",1962-06-23,"Heisenberg, Werner (1901-1976)","Wahl, Friedrich (1932-)",,Brief
DE-611-HS-3648263,"Brief von Friedrich Wahl an Werner Heisenberg, 19.06.1962",1962-06-19,"Wahl, Friedrich (1932-)","Heisenberg, Werner (1901-1976)",,Brief
